Title,Authors,Year,Venue
Advancing CyberSecurity education and training: practical case study of running capture the flag (CTF) on the metaverse vs. Physical settings,"Jamal N. Al-Karaki, Marwan Omar, Amjad Gawanmeh et al.",2023,2023 International Conference on Intelligent Metaverse Technologies & Applications (iMETA)
Affective computing: a topic-based SER approach on collaborative discussions in academic setting,"Nasrin Dehbozorgi, Mourya Teja Kunuku",2023,2023 IEEE Frontiers in Education Conference (FIE)
An AI-based approach for grading students’ collaboration,"Bojan B. Tomić, Anisja D. Kijevčanin, Zoran V. Ševarac et al.",2023,IEEE Transactions on Learning Technologies
"An authentic peer-led team learning program for community colleges: a recruitment, retention, and completion instrument for face-to-face and online modality","Christian Servin, Myshie Pagel, Ernest Webb",2023,Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1
An optimal grouping and regrouping method for effective collaborative learning: leveraging the group dynamics,"Soheila Garshasbi, Sabine Graf, Mahmood Asgari et al.",2023,"2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)"
Analysis of student pair teamwork using GitHub activities,"Niki Gitinabard, Zhikai Gao, Sarah Heckman et al.",2023,Journal of Educational Data Mining
Assessing the impact of curriculum integration on the intercultural learning gains of first-year computer science students,"Aparajita Jaiswal, Laura Starr, Aletha Stahl",2023,2023 IEEE Frontiers in Education Conference (FIE)
Categorizing projects for software engineering capstone courses,"Attiqa Rehman, Monica Divitini",2023,Norsk IKT-konferanse for forskning og utdanning
"Combining GitHub, chat, and peer evaluation data to assess individual contributions to team software development projects","Christopher Hundhausen, Phill Conrad, Olusola Adesope et al.",2023,ACM Transactions on Computing Education
Complete integration of team project-based learning into a database syllabus,"Sergio Iserte, Vicente R. Tomás, Miguel Pérez et al.",2023,IEEE Transactions on Education
Cooperative learning and Co-regulation: exploring students’ teamwork strategies in higher education,"Sakhi Aggrawal, Jorge A. Cristancho, Devang A. Patel et al.",2023,2023 IEEE Frontiers in Education Conference (FIE)
Coordination and awareness mechanisms to support collaboration in project-based software engineering courses,"Maira Marques, Roc Meseguer, Sergio F. Ochoa et al.",2023,2023 26th International Conference on Computer Supported Cooperative Work in Design (CSCWD)
Designing an overseas experiential course in data science,"Hua Leong Fwa, Graham Ng",2023,"2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)"
Diversity and teamwork in student software teams,"Isabella Graßl, Stephan Krusche, Gordon Fraser",2023,Proceedings of the 5th European Conference on Software Engineering Education
Effectiveness of video-based training for face-toface communication skills of software engineers: evidence from a three-year study,"Antonija Mitrovic, Matthias Galster, Sanna Malinen et al.",2023,ACM Transactions on Computing Education
Engaged student learning through IoT-based capstone projects: particular look at student engagement in historically underrepresented groups,"Mehrube Mehrubeoglu, Lifford McLauchlan, David Hicks et al.",2023,2023 IEEE Frontiers in Education Conference (FIE)
Enhancing design thinking in engineering students with project-based learning,"Cuiling Jiang, Yilin Pang",2023,Computer Applications in Engineering Education
Experiences and lessons learned from real-world projects in software engineering subject,"Yan Hern Ryan Sim, Zhi Zhan Lua, Kahbelan Kalisalvam Kelaver et al.",2023,2023 IEEE 35th International Conference on Software Engineering Education and Training (CSEE&T)
Explicitly characterizing team structures in teaching team-based project courses,Mingxian Jin,2023,J. Comput. Sci. Coll.
Exploring agile methodologies in educational software development- a comparative analysis and project management insights,"Vandana Kate, Shilpa Bhalerao, Vanshika Sharma",2023,2023 IEEE International Conference on ICT in Business Industry & Government (ICTBIG)
Exposing software engineering students to stressful projects: does diversity matter?,"Isabella Graßl, Gordon Fraser, Stefan Trieflinger et al.",2023,2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
How ChatGPT will change software engineering education,"Marian Daun, Jennifer Brings",2023,Proceedings of the 2023 Conference on Innovation and Technology in Computer Science Education V. 1
Implementation of PjBL with remote lab enhances the professional skills of engineering students,"V. Hayashi, J. Dutra, F. Almeida et al.",2023,IEEE Transactions on Education
Improving accuracy of self-and-peer assessment in engineering technology capstone,"Frederick C. Berry, Wanju Huang, Marisa Exter",2023,IEEE Transactions on Education
Improving soft skills through an interdisciplinary approach in a realistic context between education and CS students in an HCI course,"Maximiliano Paredes-Velasco, Mónica Arnal-Palacián, Jaime Urquiza-Fuentes et al.",2023,IEEE Transactions on Education
Improving teamwork in software engineering projects in higher education,"Ser Wee Darren Quek, Jared Kai Fu Teo, Nasruddine Louahemmsabah et al.",2023,2023 IEEE Frontiers in Education Conference (FIE)
Improving the methodology of teaching specialized subjects in the preparation of future computer engineering on the basis of innovative technologies,"Atamuratov Rasuljon Kadirjanovich, Abdullayeva Nazokat Isayevna, Primova Gozal Gulomjonovna et al.",2023,2023 8th International Conference on Computer Science and Engineering (UBMK)
Information system development by using agile teamwork and service-learning,"Vannessa Duarte, Margareth Cleveland-Slimming, Cristian Vidal et al.",2023,IEEE Transactions on Education
Infrastructural elements to fostering educational equity in engineering,"Katrina Robertson, Hadi Ali, Jonathan Adams",2023,2023 IEEE Frontiers in Education Conference (FIE)
Investigating reflection in undergraduate software development teams: an analysis of online chat transcripts,"Christopher Hundhausen, Phill Conrad, Olusola Adesope et al.",2023,Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1
Learning emergent digital technologies: the experience in the internet of things course unit,"Paulo Leitão, Luis Piardi, Lucas Sakurada et al.",2023,2023 IEEE 21st International Conference on Industrial Informatics (INDIN)
Leveraging diversity in software engineering education through community engaged learning and a supportive network,"Nowshin Nawar Arony, Kezia Devathasan, Ze Shi Li et al.",2023,2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Model and methodology for developing empathy: an experience in computer science engineering,"Cecilia Sanz, Teresa Coma-Roselló, Antonio Aguelo et al.",2023,IEEE Transactions on Education
Modeling team interaction and decision-making in agile human–machine teams: quantum and dynamical systems perspective,"Mustafa Demir, Mustafa Canan, Myke C. Cohen",2023,IEEE Transactions on Human-Machine Systems
On the impact of grading on teamwork quality in a software engineering capstone course,"María Cecilia Bastarrica, Francisco J. Gutierrez, María Marques et al.",2023,IEEE Access
Planning for difference: preparing students to create flexible and elaborated team charters that can adapt to support diverse teams,"Maria Feuer, Joanna Wolfe",2023,IEEE Transactions on Professional Communication
Relationships between social interactions and Belbin role types in collaborative agile teams,"Diego Monsalves, Héctor Cornide-Reyes, Fabián Riquelme",2023,IEEE Access
Shooting for the stars: how a STEM initiative has evolved to address gender challenges in work and education,"Marie Travers, Jenna Bromell, Katie Crowley et al.",2023,"2023 IEEE/ACM 4th Workshop on Gender Equity, Diversity, and Inclusion in Software Engineering (GEICSE)"
Software startup within a university – producing industry-ready graduates,"Saara Tenhunen, Tomi Männistö, Petri Ihantola et al.",2023,2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Structured software development versus agile software development: a comparative analysis,"Alok Mishra, Yehia Ibrahim Alzoubi",2023,International Journal of System Assurance Engineering and Management
Student autonomy in collaborative learning: effects of meeting time and team consistency,"Hongxuan Chen, Morgan M. Fong, Geoffrey L. Herman et al.",2023,2023 IEEE Frontiers in Education Conference (FIE)
"Student perceptions of teamwork, conflict, and industry preparedness in engineering interdisciplinary capstone design","Lisa Schibelius, Olivia Ryan, Susan Sajadi",2023,2023 IEEE Frontiers in Education Conference (FIE)
Student reflections on service-learning in software engineering and their experiences with non-technical clients,Stan Kurkovsky,2023,Proceedings of the ACM Conference on Global Computing Education Vol 1
Students’ perceptions of integrating a contribution measurement tool in software engineering projects,"Sivana Hamer, Christian Quesada-López, Marcelo Jenkins",2023,2023 IEEE 35th International Conference on Software Engineering Education and Training (CSEE&T)
Supporting online collaborative work at scale: a mixed-methods study of a learning analytics tool,"Xavier Ochoa, Vanessa Echeverria, Gladys Carrillo et al.",2023,Proceedings of the Tenth ACM Conference on Learning @ Scale
Teaching of web design and programming as a role-playing team building game,"Bulgaria The Department Of Education In Mathematics, Ivelina V. Velcheva, Hristo Hristov",2023,International Journal of Information and Education Technology
Teamwork dynamics in the context of large-size software development courses,"Alejandra J. Magana, Theodora Amuah, Sakhi Aggrawal et al.",2023,International Journal of STEM Education
Teamwork improvement in group projects of professional software development,"Esther Su Wee Tan, Muhammad Ridhwan Bin Sani, Nor Atiqah Shahira B. Norshahid et al.",2023,2023 3rd International Conference on Educational Technology (ICET)
Teamwork in CS1: student learning and experience with POGIL,"Helen H. Hu, Aman Yadav, Donna M. Gavin et al.",2023,Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1
The daily smirk: a preliminary prototype for continuous peer assessment of team-based projects,"Yu Lu, André Van Der Hoek",2023,2023 IEEE 35th International Conference on Software Engineering Education and Training (CSEE&T)
The impact of unequal contributions in student software engineering team projects,"Kamilla Kopec-Harding, Sukru Eraslan, Bowen Cai et al.",2023,Journal of Systems and Software
Training students to choose their agile practices and tools,"Paolo Ciancarini, Andrea Loretti, Marcello Missiroli et al.",2023,2023 IEEE 35th International Conference on Software Engineering Education and Training (CSEE&T)
Transformative pedagogy as a reflective approach for promoting intercultural selfawareness in the context of teamwork,"Irene Hensista, Shreya Guddeti, Devang A. Patel et al.",2023,2023 IEEE Frontiers in Education Conference (FIE)
Trends and challenges of project-based learning in computer science and engineering education,Sadaqat Ur Rehman,2023,The 15th International Conference on Education Technology and Computers
Understanding teamwork in dynamic contexts: an study in a software engineering project course,"Sergio F. Ochoa, Maira Marques Samary, Luis Silvestre et al.",2023,2023 International Conference on Computational Science and Computational Intelligence (CSCI)
Understanding the teamwork challenges of software engineering students,"L. Dorić, N. Luburić, J. Slivka et al.",2023,2023 46th MIPRO ICT and Electronics Convention (MIPRO)
Use of business games in the learning process,"Janis Amolins, Sabina Katalnikova, Natalya Prokofyeva et al.",2023,2023 IEEE 64th International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS)
Using automatic program assessment in a software development project course,"Uwe M. Borghoff, Mark Minas, Kim Mönch",2023,Proceedings of the 5th European Conference on Software Engineering Education
Using IF-AT cards to engage students in deeper learning of course content,"Ana Luna, Cruz Izu",2023,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje
Using PBL and agile to teach artificial intelligence to undergraduate computing students,"Vitor Augusto Menten De Barros, Henrique Mohallem Paiva, Victor Takashi Hayashi",2023,IEEE Access
What makes project teams succeed? Students’ post-COVID perceptions on IT project management education fostering professional skills,"Dominik Dolezal, Renate Motschnig",2023,2023 IEEE Frontiers in Education Conference (FIE)
"“Software is the easy part of software engineering” - lessons and experiences from a large-scale, multi-team capstone course","Ze Shi Li, Nowshin Nawar Arony, Kezia Devathasan et al.",2023,2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
C4 skills in the engineering graduate: a study to align software engineering education with market-driven software industry needs,"Chetna Gupta, Varun Gupta",2024,IEEE Transactions on Education
AI-based automatic detection of online teamwork engagement in higher education,"Alejandra J. Magana, Syed Tanzim Mubarrat, Dominic Kao et al.",2024,IEEE Transactions on Learning Technologies
An empirical study of the content and quality of sprint retrospectives in undergraduate team software projects,"Christopher Hundhausen, Phillip Conrad, Ahsun Tariq et al.",2024,2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Antecedents of student team formation in higher education,"Carlos A. De Matos Fernandes, Marion Hoffman, Jasperina Brouwer",2024,Learning and Instruction
Assessing soft skills development in informatics students through project-based learning and agile frameworks,"Vanessa Maribel Choque-Soto, Victor Dario Sosa-Jauregui",2024,2024 International Symposium on Accreditation of Engineering and Computing Education (ICACIT)
"Assessing student engagement, success, leadership and teamwork skills with respect to team role selection and execution",Edward Latorre,2024,2024 ASEE Annual Conference & Exposition Proceedings
ASSESSING the implementation of a unified software project across various courses in higher education,"Leah Velasco Barbaso, Eugene C Busico, Ralph P Laviste et al.",2024,Proceedings of the 2024 8th International Conference on Digital Technology in Education (ICDTE)
Bridging theory to practice in software testing teaching through team-based learning (TBL) and open source software (OSS) contribution,"Elaine Venson, Reem Alfayez",2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training
Building bridges: a holistic approach to web development education through community engaged learning and social justice initiatives,"Amalia Rusu, Adrian Rusu, Aarushi Vijay",2024,2024 IEEE Frontiers in Education Conference (FIE)
Characterizing team cognition within software engineering teams in an undergraduate course,"Alejandra J. Magana, Aparajita Jaiswal, Theodora Loyce Amuah et al.",2024,IEEE Transactions on Education
Code collaborate: dissecting team dynamics in first-semester programming students,"Santiago Berrezueta-Guzman, Patrick Bassner, Stefan Wagner et al.",2024,2024 21st International Conference on Information Technology Based Higher Education and Training (ITHET)
Developing future computational thinking in foundational CS education: a case study from a liberal education university in India,"Balaji Kalluri, Prajish Prasad, Prakrati Sharma et al.",2024,IEEE Transactions on Education
Educator experiences of low overhead student project risk management,"Diana Kirk, Andrew Luxton-Reilly, Ewan Tempero et al.",2024,Proceedings of the 26th Australasian Computing Education Conference
Effectiveness of implementing team contracts in a client-sponsored project-based learning course,Arko Barman,2024,2024 IEEE Frontiers in Education Conference (FIE)
Engineering better communicators via authentic integration and communicative self-efficacy,Allison Hutchison,2024,2024 47th MIPRO ICT and Electronics Convention (MIPRO)
Enhancing computer science education: gamification for developing technical and transversal competences,"Simena Dinas, Carlos Giovanny Hidalgo, Fabian H. Posso Gordillo et al.",2024,"2024 IEEE VII Congreso Internacional en Inteligencia Ambiental, Ingeniería de Software y Salud Electrónica y Móvil (AmITIC)"
Enhancing CS education with LAs using AIempowered AIELA program,"Vijayalakshmi Ramasamy, Eli Kulpinski, Thomas Beaupre et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Enhancing engineering education through project-based learning: a case study of biometry and computer vision courses,"António J. R. Neves, Fabianne Ribeiro",2024,2024 IEEE Global Engineering Education Conference (EDUCON)
Enhancing learning experiences in erasmus blended intensive programs,"Laura Grindei, Rodica Holonec, Sara Blanc Clavero et al.",2024,2024 21st International Conference on Information Technology Based Higher Education and Training (ITHET)
Evaluating individual contributions in teams for project-based learning in data science,"Arko Barman, Su Chen, Genevera I. Allen",2024,2024 IEEE Frontiers in Education Conference (FIE)
Evaluating the role of transdisciplinary course design and its efficacy in teaching a personal communication course for engineering students,"Brainerd Prince, Rukmani Keshav, Anenya Kez",2024,2024 IEEE Frontiers in Education Conference (FIE)
Exploring peer evaluation methods in group projects of software engineering education,"Mohammad Rizqullah Hafizh Bin Mohamed Riduwan, Mark Peng Jung Zen, Oh Jia Wei Darien et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Factors influencing the acquisition of soft skills in a collaborative learning environment supported by game-based application,"Jose Amelio Medina-Merodio, Ana Castillo-Martinez, Roberto Barchino et al.",2024,IEEE Access
Fostering agile IT project management and interpersonal skills using AI-enhanced game-based learning,"Dominik Dolezal, Yllka Velaj, Lukas Spreitzer et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
From traditional to agile methodologies in software project management education: a case study,"Mickael Fonseca Santos, Ricardo Angelo Filipe, Joao Carlos Cunha",2024,Proceedings of the 2024 16th International Conference on Education Technology and Computers
GA2Graph: a data-driven approach to visualizing and analyzing collaborative learning,"Abdussalam Alawini, Isa Hajara-Yasmin, Jiabao Xu et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Guess the learning type: a micro-designed gamified approach to machine learning types,"Nur Zareen Zulkarnain, Sharifah Sakinah Syed Ahmad",2024,2024 International Conference on TVET Excellence & Development (ICTeD)
Hands-on experiential learning of machine learning concepts through senior design projects: a case study,"Ahmed A. Hussain, Samir El-Nakla, Sadiq Al Huwaidi et al.",2024,2024 6th International Symposium on Advanced Electrical and Communication Technologies (ISAECT)
Improving software engineering teamwork with structured feedback,"Victor Weiqi Huang, Kori Krueger, Taya Cohen et al.",2024,Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1
Innovative approach to agile education: generative AI-supported planning poker simulation,"Khalid Nafil, Youssef Lefdaoui",2024,2024 21st International Conference on Information Technology Based Higher Education and Training (ITHET)
Innovative practice: agile training for year-long capstone project,"William Eberle, Gerald C. Gannod, Eric Brown",2024,2024 IEEE Frontiers in Education Conference (FIE)
Integrating international research-innovation projects and working life partners into cybersecurity degree program,"Jyri Rajamäki, Paresh Rathod, Pasi Kämppi",2024,2024 IEEE Global Engineering Education Conference (EDUCON)
Integrating usability into software engineering course projects,Nihal Mezi Cetin,2024,Journal of Computer and Education Research
Investigating computer science students perceptions of team coaching,"Vanessa Tudor, Dominik Dolezal, Renate Motschnig",2024,2024 IEEE Frontiers in Education Conference (FIE)
Managing students in hybrid software project classes,"Bruce R. Maxim, Belen A. Garcia",2024,2024 IEEE Frontiers in Education Conference (FIE)
Pay it forward: use of a course-based discussion platform to deepen content and professional knowledge in an engineering project course,Edward Latorre-Navarro,2024,2024 IEEE Frontiers in Education Conference (FIE)
Providing technical support to sustain student motivation and engagement in software engineering project-based learning,"Ahmad D. Suleiman, David Shepherd, Jan DeWaters et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Relating team atmosphere and group dynamics to student software development teams’ performance,"Sherlock A. Licorish, Daniel Alencar Da Costa, Elijah Zolduoarrati et al.",2024,Information and Software Technology
Strategies and implications of peer assessment in software engineering education,"Joy Yee Shing Cheng, Zi Jian Adrian Pang, Elias Isaac Huai-En Lim et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Students’ perceptions on adaptations and workload versus artifacts in a project-based scrumvariant course,Georgia M. Kapitsaki,2024,IEEE Transactions on Education
Teaching robotic concepts using project-based learning: a case study,"Bianca Cassemiro Lima, Henrique Mohallem Paiva, Marcos R. O. A. Maximo",2024,2024 IEEE World Engineering Education Conference (EDUNINE)
Teaching software development for real-world problems using a microservice-based collaborative problem-solving approach,"Yi Meng Lau, Christian Michael Koh, Lingxiao Jiang",2024,2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Teamwork conflict management training and conflict resolution practice via large language models,"Sakhi Aggrawal, Alejandra J. Magana",2024,Future Internet
"The application of the teaching model of “promoting learning through competition, promoting teaching through competition” in the course of data analysis and mining","Zhaojing Wang, Li Li, Bangchao Wang et al.",2024,"2024 IEEE 24th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)"
The impact of the national cyber league NCL on students skills in cybersecurity,Yasser Alshehri,2024,2024 IEEE Frontiers in Education Conference (FIE)
The PBL methodology in a hybrid class in an integrative systems engineering course,"Elena Sonia Paula Espinoza Ríos, Felipe Néstor Gutarra Meza, Isabel C. Barragan Arias et al.",2024,2024 International Symposium on Accreditation of Engineering and Computing Education (ICACIT)
The progression of competencies and dispositions: how do maturing software engineers compare?,"Tony Clear, Alison Clear",2024,2024 IEEE Frontiers in Education Conference (FIE)
The role of team composition in agile software development education: a gendered perspective,"Gyda Elisa Sæter, Viktoria Stray, Steffen Almås et al.",2024,Agile processes in software engineering and extreme programming
Transdisciplinarity and team-based learning: strategies for an introductory programming course,"Rocio Ramos-Rodriguez, Maria Calle, Garis Coronell et al.",2024,IEEE Transactions on Education
Transforming the client relationship to support large capstone classes,"Bowen Hui, Samantha Hodge, Dilpreet Samra",2024,2024 IEEE Frontiers in Education Conference (FIE)
Using ChatGPT in undergraduate computer science and software engineering courses: a students’ perspective,"Noah Andersen-Kiel, Panagiotis Panos Linos",2024,2024 IEEE Frontiers in Education Conference (FIE)
Using GitHub analytics to assess the quality of collaboration in software engineering teams,"Quan Le, Kiet Phan, Bowen Hui et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Using vignettes to categorize behaviors that students associate with dispositions,"Mihaela Sabin, Renée McCauley, Bonnie MacKellar et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
WIP: a systematic approach to screen and align service-learning projects for optimal student outcomes,"Chad A. Williams, Stan Kurkovsky, Mikey Goldweber et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
WIP: ChatVis: enhancing academic team collaboration through WhatsApp chat analytics,"Héctor G. Pérez-González, Raymundo A. González-Grimaldo, Joshua Chibuike Nwokeji et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
WIP: industry 4.0 robotics - an interdisciplinary approach to deep learning,"Chad A. Williams, Haoyu Wang, Stan Kurkovsky et al.",2024,2024 IEEE Frontiers in Education Conference (FIE)
Working with large code bases: a cognitive apprenticeship approach to teaching software engineering,"Anshul Shah, Jerry Yu, Thanh Tong et al.",2024,Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1
“Think before you scrum” - an experience report on daily scrums to aid reflection,"Matthew Minish, Matthias Galster, Fabian Gilson",2024,2024 36th International Conference on Software Engineering Education and Training (CSEE&amp;T)
A simulation-based approach to enhance conflict resolution through non-violent communication and large language models in teamwork,"Miguel A. Feijoo-Garcia, Jorge A. Cristancho, James Dworkin et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
Active learning methodology for advanced agile software engineering and DevOps practices,"Juan Ignacio Irabedra, Martin Solari",2025,2025 IEEE Engineering Education World Conference (EDUNINE)
Agile methodologies in education: the common ground of personalized learning and projectbased learning,"Nuno Pombo, Carlos Cunha",2025,"2025 IEEE/ACIS 23rd International Conference on Software Engineering Research, Management and Applications (SERA)"
Agile social software engineer: an empirical approach to mitigate and manage social debts in agile environments,"Mohammed Nazel Alshammari, Wendy Yánez-Pazmino, Carlos Mera-Gómez et al.",2025,ACM Transactions on Computing Education
AI literacy through a project-based learning course,"Marco Ho, Carly Orr, Rebecca Jeon et al.",2025,2025 IEEE Smart World Congress (SWC)
An enhanced framework for sustainable education using project-based learning,"Sayeda Rahnuma Akthar, Mahady Hasan, Awindrela Roy Dristy et al.",2025,"2025 IEEE/ACIS 23rd International Conference on Software Engineering Research, Management and Applications (SERA)"
An exploration of how generative AI affects workflow and collaboration in a software engineering course,"Marie Salomon, Kyle D. Chin, Reid Holmes et al.",2025,Proceedings of the 2025 ACM SIGPLAN International Symposium on SPLASH-E
Analyzing the communication patterns of different teammate types in a software engineering course project,"Yanye Luther, Lindsey Nielsen, Logan Cadman et al.",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering
Assessing teamwork dynamics in software development projects,"Santiago Berrezueta-Guzman, Ivan Parmacli, Mohammad Kasra Habib et al.",2025,2025 IEEE Global Engineering Education Conference (EDUCON)
Ball point game: playing or learning agile project management?,"Maria Lydia Fioravanti, Gustavo M. N. Avellar, Bruna Oliveira Romeiro et al.",2025,IEEE Access
Blended realities - higher education student reflections on acquiring skills for game creation in a project-based- and blended learning environment,"Adam Palmquist, Joana Alves, Rene Baranyi et al.",2025,Games: Research and Practice
Chronicling consistency and parity of contributions to software engineering team projects,"Kevin Buffardi, Rahul Bijoor, Aviral Kumar Srivastava et al.",2025,Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1
Community-oriented project-based learning for a web technologies course,"Zheng Song, Sai Vikram Patnaik, Hayat Hachem et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
CTF gamified learning acceptance among Malaysian students,"Nor Azlina Abd Rahman, Zaireeda Mohd Fauzee, Noris Ismail et al.",2025,2025 1st International Conference on Emerging Innovation and Digital Technology (ICEIDT)
Decoding student rating behaviors: a comparative study of frequent self and peer assessments in team projects,"Yu Lu, André Van Der Hoek",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering
Developing leadership skills in software engineering students - a case study of a leadership development framework,"Nicolas Nascimento, Afonso Sales, Rafael Chanin",2025,2025 IEEE Frontiers in Education Conference (FIE)
Embracing experiential learning: hackathons as an educational strategy for shaping soft skills in software engineering,"Allysson Allex Araújo, Marcos Kalinowski, Maria Teresa Baldassarre",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T)
Emotion-centric AI interventions for experiential learning in higher education,"Ayush Bharadwaj, Anshuman Sahu, L. Amit Kumar Das et al.",2025,"2025 International Conference on Innovations in Intelligent Systems: Advancements in Computing, Communication, and Cybersecurity (ISAC3)"
Empowering GenAI with SMCKI collaborative script in CSCL to enhance undergraduate students’ collaborative problem-solving ability and learning performance,"Ziwen Wei, Yi Zhang, Shuangting Ding et al.",2025,2025 International Conference on Educational Technology Management (ICETM)
Enhancing HCI capstone courses through diary study methods: feedback and insights from graduate-undergraduate collaboration,"Jixiang Fan, Wei-Lu Wang, Natalie Andrus et al.",2025,Proceedings of the 7th Annual Symposium on HCI Education
"Enhancing teamwork in project-based learning: challenges, reflections, and strategies for improvement","Aparajita Jaiswal, Paul Thomas, Prateek Jaiswal et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
Evaluating assessment practices in team-based computing capstone projects,"Sara Hooshangi, Asma Shakil, Steve Riddle et al.",2025,Proceedings of the 2025 Working Group Reports on Innovation and Technology in Computer Science Education
Evaluating teamwork components in large undergraduate software engineering teams,"Luka Dorić, Nikola Luburić, Jelena Slivka et al.",2025,ACM Transactions on Computing Education
Experimenting team-based learning in a large computer networks class,"Paolo Casari, Sabrina Maniero, Andrea Rosani et al.",2025,IEEE Transactions on Education
Exploring team dynamics in software development: personality traits and collaborative programming,"Samantha Jiménez, Camilo Caraveo, Leticia Cervantes Huerta et al.",2025,2025 13th International Conference in Software Engineering Research and Innovation (CONISOFT)
"Exploring topic selection in undergraduate capstone courses: impacts on engagement, teamwork, and learning outcomes","Alex Modarresi, Vaishnavi Sen",2025,Proceedings of the 26th ACM Annual Conference on Cybersecurity &amp; Information Technology Education
Game studio simulator: integrating industry practice and formative individual assessment in collaborative game development capstone projects,"Charlotte Pierce, Clinton J. Woodward, Andrew Trevillian et al.",2025,ACM Transactions on Computing Education
Group assignments and support aimed to develop student teamwork skills and a positive attitude towards teamwork in computer science higher education,Cristina Adriana Alexandru,2025,Proceedings of the 9th Conference on Computing Education Practice
Hands-on learning in database programming education: exploring student experiences through thematic analysis of project reflections,"Nurhafizah Mahri, Nur Leyni Nilam Putri Junurham",2025,2025 10th International Conference on Information and Communication Technology for the Muslim World (ICT4M)
How soft skills shape first-year success in higher education,"Kerstin Andree, Santiago Berrezueta-Guzman, Stephan Krusche et al.",2025,2025 IEEE 4th German Education Conference (GECon)
Human ants are beneficial for team performance,"Iflaah Salman, Alvaro Francisco Gil, Juan Garbajosa et al.",2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC)
Improving software engineering team communication through stronger social networks,"April Clarke, Tanja Mitrović,Fabian Gilson",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T)
Influence of individual image on team dynamics in IT-related undergraduate projects: investigating the hue effect,"B.M.G.S.T.S.K. Wickramasinghe, K.D.B. Aratthanage, W.A.L.P. Fernando et al.",2025,2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI)
Integrating soft skills training into your course through a collaborative activity,"Géraldine Brieven, Marcia Moraes, Dieter Pawelczak et al.",2025,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1
Investigating the role of the instructional team in enhancing student teamwork experiences in an introductory cybersecurity course,"Aparajita Jaiswal, Paul Thomas, Sudip Vhaduri et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
Learning to code together: a look into student projects in an object-oriented programming course,"Marina Lepp, Eva Luude",2025,"2025 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)"
LLM contribution summarization in software projects,"Rafael Corsi Ferrão, Fabio De Miranda, Diego Pavan Soler et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
Navigating multi-semester service learning in software engineering: strategies for success,"Chad A. Williams, Stan Kurkovsky, Mikey Goldweber et al.",2025,2025 IEEE Frontiers in Education Conference (FIE)
Peer learning through distributed computing research for diverse undergraduate students,"Pradeeban Kathiravelu, David Moxley",2025,"2025 IEEE International Performance, Computing, and Communications Conference (IPCCC)"
Project-based learning for teaching natural language processing in undergraduate computing,"Thiago Goulart De Oliveira, Henrique Mohallem Paiva, Victor Takashi Hayashi",2025,2025 International Symposium on Accreditation of Engineering and Computing Education (ICACIT)
